iter	RMSE
0	3532.448869
1	3403.482336
2	3287.677174
3	3185.459609
4	3094.082536
5	3012.561808
6	2941.249033
7	2876.764706
8	2819.877441
9	2769.818387
10	2726.765818
11	2688.565642
12	2654.790253
13	2625.353199
14	2599.818169
15	2577.239459
16	2557.452574
17	2539.327324
18	2523.611455
19	2510.001853
20	2497.287131
21	2486.857349
22	2477.738845
23	2469.011563
24	2461.697034
25	2455.412811
26	2449.904908
27	2444.999871
28	2440.501552
29	2436.45246
30	2433.048933
31	2430.29651
32	2427.676008
33	2424.204725
34	2421.680826
35	2419.053669
36	2417.462233
37	2415.693798
38	2414.212235
39	2412.738226
40	2410.717403
41	2409.264964
42	2407.978841
43	2406.904146
44	2406.091897
45	2405.222667
46	2403.725727
47	2403.116631
48	2402.011007
49	2401.414141
50	2400.285721
51	2399.725655
52	2398.8684
53	2398.335685
54	2397.731413
55	2396.868297
56	2396.49423
57	2395.514746
58	2394.820362
59	2394.176332
60	2393.78898
61	2393.313196
62	2393.027907
63	2392.511032
64	2391.622467
65	2391.01647
66	2390.753449
67	2390.150106
68	2389.801482
69	2389.205456
70	2388.600882
71	2388.184488
72	2387.728589
73	2387.466154
74	2387.328915
75	2386.894905
76	2386.438116
77	2386.073847
78	2385.617757
79	2385.367174
80	2384.669041
81	2384.515658
82	2384.066597
83	2383.876824
84	2383.549367
85	2383.231604
86	2382.755021
87	2382.529487
88	2382.358178
89	2381.800508
90	2381.404473
91	2381.040894
92	2380.528257
93	2380.258014
94	2379.954882
95	2379.630193
96	2379.243557
97	2378.996235
98	2378.816855
99	2378.675548
100	2378.493488
101	2378.115439
102	2377.882823
103	2377.691252
104	2377.268327
105	2377.088025
106	2376.602213
107	2375.992681
108	2375.805075
109	2375.667446
110	2375.573467
111	2375.128393
112	2374.942136
113	2374.806302
114	2374.520375
115	2374.278958
116	2374.017155
117	2373.889615
118	2373.615757
119	2373.477133
120	2373.244832
121	2373.023841
122	2372.847014
123	2372.676885
124	2372.423605
125	2372.105172
126	2371.844512
127	2371.586918
128	2371.262068
129	2371.169996
130	2370.985601
131	2370.851494
132	2370.632225
133	2370.543487
134	2370.404947
135	2370.174004
136	2370.028572
137	2369.762149
138	2369.652376
139	2369.479853
140	2369.31163
141	2369.04714
142	2368.881625
143	2368.664737
144	2368.562183
145	2368.416814
146	2367.842858
147	2367.53518
148	2367.397477
149	2367.254044
150	2367.027028
151	2366.662857
152	2366.480323
153	2366.347245
154	2366.181242
155	2366.098748
156	2365.943043
157	2365.809833
158	2365.513159
159	2365.282288
160	2365.083122
161	2364.963142
162	2364.86534
163	2364.706968
164	2364.499617
165	2364.045428
166	2363.95415
167	2363.599571
168	2363.210475
169	2363.110627
170	2363.019179
171	2362.724354
172	2362.414559
173	2362.31529
174	2362.04952
175	2361.819154
176	2361.716147
177	2361.524587
178	2361.259784
179	2361.179701
180	2360.853337
181	2360.502269
182	2360.409043
183	2360.147727
184	2359.714236
185	2359.509042
186	2359.223849
187	2359.132423
188	2358.847626
189	2358.699313
190	2358.510245
191	2358.433292
192	2358.270467
193	2358.127109
194	2357.783063
195	2357.641194
196	2357.389681
197	2357.328191
198	2356.992775
199	2356.741355
200	2356.562076
201	2356.171823
202	2356.049621
203	2355.774966
204	2355.624336
205	2355.485215
206	2355.357484
207	2355.092007
208	2354.992543
209	2354.730667
210	2354.520339
211	2354.169181
212	2353.838477
213	2353.700288
214	2353.530723
215	2353.425169
216	2353.28401
217	2353.119894
218	2353.006436
219	2352.852767
220	2352.666185
221	2352.380887
222	2352.294642
223	2352.085054
224	2351.836688
225	2351.742503
226	2351.47567
227	2351.1341
228	2350.836055
229	2350.627796
230	2350.491862
231	2350.375666
232	2350.137551
233	2350.034256
234	2349.943384
235	2349.688055
236	2349.46177
237	2349.365761
238	2349.261059
239	2349.143131
240	2348.873947
241	2348.661305
242	2348.553024
243	2348.485471
244	2348.382071
245	2348.069187
246	2347.973085
247	2347.71019
248	2347.615835
249	2347.367744
250	2347.323305
251	2347.134015
252	2346.939009
253	2346.668531
254	2346.628929
255	2346.467818
256	2346.32527
257	2346.256483
258	2346.202592
259	2346.020737
260	2345.796819
261	2345.577069
262	2345.516695
263	2345.341998
264	2345.145873
265	2345.045373
266	2344.824103
267	2344.550909
268	2344.268003
269	2344.213894
270	2344.10114
271	2343.894363
272	2343.619952
273	2343.441028
274	2343.379324
275	2343.150953
276	2342.960772
277	2342.75771
278	2342.589793
279	2342.414092
280	2342.329791
281	2342.185604
282	2342.069605
283	2341.839174
284	2341.738078
285	2341.609928
286	2341.472683
287	2341.306898
288	2341.038548
289	2340.94738
290	2340.755375
291	2340.674181
292	2340.556749
293	2340.47119
294	2340.416105
295	2340.321283
296	2340.194806
297	2340.105103
298	2339.906828
299	2339.737244
300	2339.59796
301	2339.373808
302	2339.306005
303	2339.167364
304	2339.050581
305	2338.886509
306	2338.831604
307	2338.681139
308	2338.582383
309	2338.472297
310	2338.339068
311	2338.165353
312	2338.068301
313	2337.992268
314	2337.884461
315	2337.685903
316	2337.621217
317	2337.560182
318	2337.475474
319	2337.370996
320	2337.197899
321	2337.052163
322	2336.912624
323	2336.749674
324	2336.682049
325	2336.574067
326	2336.392747
327	2336.31212
328	2336.260455
329	2336.113409
330	2335.925692
331	2335.667807
332	2335.462054
333	2335.399815
334	2335.288817
335	2335.232392
336	2335.09053
337	2335.035738
338	2334.992932
339	2334.790789
340	2334.68587
341	2334.634703
342	2334.464036
343	2334.353935
344	2334.125993
345	2334.056062
346	2333.986133
347	2333.873589
348	2333.726109
349	2333.569815
350	2333.515904
351	2333.434641
352	2333.364156
353	2333.298187
354	2333.21136
355	2333.12094
356	2333.016001
357	2332.868696
358	2332.808374
359	2332.716836
360	2332.678031
361	2332.645002
362	2332.498025
363	2332.3506
364	2332.247297
365	2332.043063
366	2331.851477
367	2331.664221
368	2331.500693
369	2331.310126
370	2331.222065
371	2331.139989
372	2330.951967
373	2330.881766
374	2330.707624
375	2330.653425
376	2330.499364
377	2330.445853
378	2330.331052
379	2330.188178
380	2330.10736
381	2329.879568
382	2329.795111
383	2329.76082
384	2329.700637
385	2329.624521
386	2329.388201
387	2329.296808
388	2329.159233
389	2328.969612
390	2328.875087
391	2328.803926
392	2328.71227
393	2328.633351
394	2328.556387
395	2328.444263
396	2328.406041
397	2328.363854
398	2328.337535
399	2328.23404
400	2328.126711
401	2327.94978
402	2327.892672
403	2327.788176
404	2327.666969
405	2327.500436
406	2327.471078
407	2327.353064
408	2327.158849
409	2327.06026
410	2326.901548
411	2326.855396
412	2326.795374
413	2326.699049
414	2326.574331
415	2326.381297
416	2326.231268
417	2326.137256
418	2326.019989
419	2325.911733
420	2325.847749
421	2325.793676
422	2325.73042
423	2325.544774
424	2325.396143
425	2325.325604
426	2325.163944
427	2325.055256
428	2325.022531
429	2324.963765
430	2324.888109
431	2324.812844
432	2324.722778
433	2324.620496
434	2324.56723
435	2324.514925
436	2324.439038
437	2324.352256
438	2324.195747
439	2324.15551
440	2324.039267
441	2323.899525
442	2323.724596
443	2323.563705
444	2323.492794
445	2323.331808
446	2323.167527
447	2323.050492
448	2322.886515
449	2322.690238
450	2322.550308
451	2322.375686
452	2322.308346
453	2322.255854
454	2322.178746
455	2322.014769
456	2321.857066
457	2321.784472
458	2321.62122
459	2321.536679
460	2321.405523
461	2321.347336
462	2321.186373
463	2321.046179
464	2320.906579
465	2320.808623
466	2320.752215
467	2320.530094
468	2320.325599
469	2320.170429
470	2320.063338
471	2319.884532
472	2319.766454
473	2319.704703
474	2319.510574
475	2319.382976
476	2319.289246
477	2319.223451
478	2319.153706
479	2319.081015
480	2318.910243
481	2318.834694
482	2318.764614
483	2318.719705
484	2318.634858
485	2318.483378
486	2318.432352
487	2318.360384
488	2318.261729
489	2318.174769
490	2318.044005
491	2317.960253
492	2317.923688
493	2317.730627
494	2317.577926
495	2317.376487
496	2317.237696
497	2317.078541
498	2316.977953
499	2316.918748
500	2316.883734
501	2316.700025
502	2316.627956
503	2316.48309
504	2316.398952
505	2316.221741
506	2316.179373
507	2316.130235
508	2316.068528
509	2315.925557
510	2315.825078
511	2315.777305
512	2315.684834
513	2315.5463
514	2315.445118
515	2315.269787
516	2315.074197
517	2314.937264
518	2314.854145
519	2314.674469
520	2314.621249
521	2314.541525
522	2314.39332
523	2314.347335
524	2314.310506
525	2314.195539
526	2314.03104
527	2313.960763
528	2313.866166
529	2313.787943
530	2313.756441
531	2313.59013
532	2313.470369
533	2313.32652
534	2313.222288
535	2313.043282
536	2312.98979
537	2312.904279
538	2312.865306
539	2312.763836
540	2312.678047
541	2312.46548
542	2312.441655
543	2312.298617
544	2312.219405
545	2312.121034
546	2312.009801
547	2311.870441
548	2311.709772
549	2311.603041
550	2311.572049
551	2311.428596
552	2311.297413
553	2311.232906
554	2311.127345
555	2311.062301
556	2311.001588
557	2310.932862
558	2310.778358
559	2310.713682
560	2310.687674
561	2310.622672
562	2310.590686
563	2310.398467
564	2310.304073
565	2310.094975
566	2309.988682
567	2309.938141
568	2309.877306
569	2309.802797
570	2309.715646
571	2309.568086
572	2309.546475
573	2309.491275
574	2309.370497
575	2309.244631
576	2309.160266
577	2308.997965
578	2308.868743
579	2308.693843
580	2308.533466
581	2308.414764
582	2308.359387
583	2308.316046
584	2308.267222
585	2308.147317
586	2308.123237
587	2308.049309
588	2307.952492
589	2307.871318
590	2307.728905
591	2307.618022
592	2307.534957
593	2307.446966
594	2307.293627
595	2307.130753
596	2307.008125
597	2306.889773
598	2306.757261
599	2306.627599
600	2306.445135
601	2306.2953
602	2306.2218
603	2306.157167
604	2306.097192
605	2306.041452
606	2305.981838
607	2305.816488
608	2305.714777
609	2305.674495
610	2305.596348
611	2305.446466
612	2305.319356
613	2305.188351
614	2305.146516
615	2305.014724
616	2304.99168
617	2304.860052
618	2304.762117
619	2304.577026
620	2304.502233
621	2304.350694
622	2304.215607
623	2304.135819
624	2304.036197
625	2304.006189
626	2303.851879
627	2303.67397
628	2303.522521
629	2303.45768
630	2303.414675
631	2303.248708
632	2303.064018
633	2302.968763
634	2302.910397
635	2302.789328
636	2302.689964
637	2302.588462
638	2302.484863
639	2302.405805
640	2302.32802
641	2302.220676
642	2302.056751
643	2301.95741
644	2301.849819
645	2301.649555
646	2301.559738
647	2301.492266
648	2301.45501
649	2301.376053
650	2301.332803
651	2301.252655
652	2301.197222
653	2301.118375
654	2301.078674
655	2300.923237
656	2300.876038
657	2300.831195
658	2300.795458
659	2300.717084
660	2300.640704
661	2300.612579
662	2300.555467
663	2300.516563
664	2300.40051
665	2300.2869
666	2300.226863
667	2300.143765
668	2300.103875
669	2299.969967
670	2299.929978
671	2299.783531
672	2299.730549
673	2299.610035
674	2299.509344
675	2299.465385
676	2299.34699
677	2299.316215
678	2299.169703
679	2299.135271
680	2298.991862
681	2298.880215
682	2298.698221
683	2298.572699
684	2298.421343
685	2298.371602
686	2298.334617
687	2298.289641
688	2298.256834
689	2298.181158
690	2298.039229
691	2297.965971
692	2297.898378
693	2297.873107
694	2297.801182
695	2297.670914
696	2297.620403
697	2297.457101
