iter	Passed	Remaining
0	4	4534
1	7	3734
2	10	3472
3	13	3355
4	16	3262
5	19	3207
6	22	3186
7	25	3208
8	28	3186
9	31	3163
10	34	3145
11	37	3127
12	41	3123
13	44	3112
14	47	3094
15	49	3073
16	52	3052
17	55	3040
18	58	3029
19	61	3018
20	64	3010
21	67	3000
22	70	2988
23	73	2985
24	76	2974
25	79	2959
26	81	2953
27	84	2949
28	87	2940
29	90	2936
30	93	2926
31	96	2919
32	99	2913
33	102	2903
34	105	2899
35	108	2896
36	111	2896
37	114	2889
38	117	2889
39	120	2889
40	123	2885
41	126	2875
42	129	2871
43	132	2873
44	135	2871
45	138	2866
46	140	2858
47	143	2852
48	146	2845
49	149	2844
50	152	2838
51	155	2834
52	158	2826
53	160	2820
54	163	2813
55	166	2805
56	169	2802
57	172	2804
58	175	2797
59	177	2788
60	180	2783
61	183	2775
62	186	2769
63	189	2764
64	192	2762
65	194	2758
66	197	2753
67	200	2745
68	203	2740
69	205	2733
70	208	2727
71	211	2720
72	213	2714
73	216	2710
74	219	2703
75	221	2697
76	224	2691
77	227	2688
78	230	2685
79	233	2681
80	236	2679
81	238	2673
82	241	2667
83	244	2663
84	246	2657
85	249	2649
86	252	2647
87	254	2639
88	257	2634
89	260	2632
90	262	2626
91	265	2621
92	268	2618
93	271	2612
94	273	2608
95	276	2603
96	279	2600
97	282	2597
98	284	2589
99	287	2584
100	289	2579
101	292	2577
102	295	2574
103	298	2569
104	300	2565
105	303	2561
106	306	2559
107	309	2557
108	312	2553
109	315	2549
110	317	2546
111	320	2544
112	323	2540
113	326	2535
114	329	2534
115	332	2530
116	335	2528
117	337	2524
118	340	2521
119	343	2517
120	347	2524
121	351	2527
122	354	2524
123	356	2522
124	359	2519
125	362	2514
126	365	2509
127	368	2508
128	371	2505
129	373	2500
130	376	2497
131	379	2492
132	381	2487
133	384	2484
134	387	2480
135	389	2477
136	392	2474
137	395	2471
138	398	2467
139	401	2465
140	404	2462
141	406	2457
142	409	2452
143	411	2447
144	414	2444
145	417	2441
146	420	2437
147	423	2435
148	425	2431
149	428	2429
150	431	2424
151	434	2423
152	437	2422
153	440	2418
154	443	2416
155	445	2412
156	448	2409
157	451	2405
158	454	2401
159	456	2397
160	458	2391
161	461	2387
162	464	2383
163	466	2379
164	469	2374
165	472	2372
166	474	2368
167	477	2365
168	480	2361
169	482	2356
170	485	2352
171	487	2348
172	490	2343
173	492	2340
174	495	2336
175	498	2333
176	500	2329
177	503	2324
178	506	2321
179	508	2316
180	510	2311
181	513	2310
182	516	2306
183	518	2301
184	521	2299
185	524	2296
186	527	2293
187	530	2289
188	532	2286
189	535	2283
190	538	2280
191	541	2277
192	543	2274
193	546	2270
194	549	2267
195	552	2264
196	554	2260
197	556	2256
198	560	2254
199	562	2250
200	565	2247
201	568	2245
202	571	2243
203	574	2240
204	576	2235
205	578	2231
206	581	2228
207	584	2225
208	586	2221
209	589	2218
210	592	2216
211	595	2213
212	598	2210
213	600	2207
214	603	2204
215	606	2201
216	608	2197
217	611	2194
218	614	2190
219	617	2188
220	620	2185
221	622	2181
222	625	2178
223	627	2175
224	631	2173
225	633	2171
226	636	2168
227	639	2165
228	642	2163
229	645	2160
230	648	2157
231	651	2155
232	654	2153
233	656	2150
234	659	2147
235	662	2143
236	665	2141
237	667	2138
238	670	2134
239	673	2131
240	676	2129
241	679	2127
242	681	2123
243	684	2119
244	686	2116
245	689	2113
246	692	2109
247	695	2107
248	697	2104
249	700	2102
250	703	2098
251	705	2095
252	708	2092
253	711	2090
254	714	2087
255	717	2085
256	720	2083
257	723	2080
258	725	2075
259	728	2072
260	730	2069
261	733	2067
262	736	2064
263	739	2061
264	742	2059
265	745	2056
266	747	2053
267	751	2051
268	753	2048
269	756	2045
270	759	2042
271	762	2040
272	765	2038
273	767	2034
274	770	2031
275	773	2029
276	776	2026
277	779	2023
278	782	2020
279	784	2018
280	787	2015
281	790	2011
282	792	2008
283	795	2006
284	798	2002
285	800	1998
286	803	1995
287	805	1992
288	808	1988
289	810	1984
290	813	1982
291	816	1979
292	819	1976
293	821	1972
294	823	1969
295	826	1965
296	829	1963
297	832	1960
298	835	1958
299	838	1955
300	841	1953
301	843	1950
302	846	1947
303	849	1944
304	852	1942
305	855	1939
306	857	1936
307	860	1934
308	863	1930
309	866	1927
310	869	1925
311	872	1923
312	875	1920
313	877	1917
314	880	1914
315	883	1911
316	885	1907
317	887	1903
318	890	1900
319	892	1897
320	895	1893
321	897	1890
322	900	1887
323	903	1885
324	906	1882
325	909	1879
